element,position,multiplier,is_captain,is_vice_captain
113,1,1,False,False
306,2,1,False,True
357,3,1,False,False
295,4,1,False,False
261,5,1,False,False
19,6,1,False,False
465,7,1,False,False
160,8,1,False,False
318,9,2,True,False
297,10,1,False,False
356,11,1,False,False
254,12,0,False,False
104,13,0,False,False
167,14,0,False,False
430,15,0,False,False
